,Hotel Name,Rating,Price,Hotel URL,Descriptions,Treatment_Period,Treatment_City
0,Casa Abamita,"8,5",€ 987,https://www.booking.com/hotel/es/mayerling-abamita-apartments.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AoD1x60GwAIB0gIkZDJlYzVlNWUtNzk2OC00NGUyLWIyNzMtMzEzYTlmOGU0ZWQw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=227b2b167058009a&srepoch=1706162863&all_sr_blocks=158998605_326128883_0_0_0&highlighted_blocks=158998605_326128883_0_0_0&matching_block_id=158998605_326128883_0_0_0&sr_pri_blocks=158998605_326128883_0_0_0__98690&from=searchresults#hotelTmpl,"Los Apartamentos Mayerling Abamita se encuentran en Barcelona y ofrecen alojamiento con aire acondicionado. El establecimiento está a 600 metros de la plaza Plaça Catalunya. Hay WiFi gratuita en todo el recinto.

El alojamiento dispone de estudios y habitaciones. Los estudios incluyen zona de cocina con vitrocerámica. Las habitaciones y los estudios están equipados con TV de pantalla plana, microondas y nevera. Hay baño privado con secador de pelo en todos los alojamientos. Se proporcionan toallas y ropa de cama.

Los Apartamentos Mayerling Abamita se encuentran a 600 metros de la avenida Portal de l'Angel, a 700 metros de la Seu, la catedral de Barcelona, y a 13 km del aeropuerto de Barcelona-El Prat, el más cercano.",1,1
1,Hotel Barcelona Condal Mar Affiliated by Meliá,"8,0",€ 1.011,https://www.booking.com/hotel/es/hotel-barcelona-condal-mar.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AoD1x60GwAIB0gIkZDJlYzVlNWUtNzk2OC00NGUyLWIyNzMtMzEzYTlmOGU0ZWQw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=227b2b167058009a&srepoch=1706162863&all_sr_blocks=9137911_91989009_2_2_0&highlighted_blocks=9137911_91989009_2_2_0&matching_block_id=9137911_91989009_2_2_0&sr_pri_blocks=9137911_91989009_2_2_0__101120&nad_id=18580e39-d1c6-4a58-aa9b-5ac74b467d97_3&nad_cpc=0.95&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6InZ3b1prOGpUekNlbElyVjNtZmhKMS9CalZocThVSlVieXZJTDA3ZWJMMW84ay81eE1CR3hZYm10SU52bk5tYllxaXRSZEtzUUY1d1d1b3l6QTRqOXp4YU9oWllxY2I5S211cmhwTXBrQ01iYXV5dzNJbE1yZk1JRHo0V3VnTmlDNjhFTjdPbUxnd0l4SlQ2YlNTeU1oM0J6cTgrR2U2eUFCNG92UFZOMFN0YzA3VUVYQzRkaDZud0hFRVRzL2lzWDRnUCtFTUgzVi9vbXp0TEcwWUNtUFR5WU1EMUMrR2R4RTNMcWJ6b3AwR1lyVTBGT0U3N0s5UmZHcnduV0JiKytSQ1puQ05CUnZhdDNFSDFSQk1aTjJWa3ZZVlhFODFYM2VXU3ZSeStWZmpOamFXUllLOFBaajVrMGlsMU5tRDlVNjZPNFgxTjFBMHhMbUVGamdsUmJ4YWxqczB0VTJtRXpuTzNnN3dtdmdjbitVQjVOcGliM3p1OTd5bFB0Z3U5NXpnaEVhSnBaOFd3YXdEeGFMc2NmMmd0M3U1WWhZWUR0UExXL0V5WnNIVEdTYzc5UzdMZzNNWGVYeGF3VE5HOTFmT1BHZDZ3QmFVRC8rRDQyZWtNUjVqRmRmbUFOeGlkUlZjZjE1K204UnZKUWl3RlBQaVlpSGVLYUtTU1F4Ym9xVjhQNjJ6empwK0RlV3dwNk85MkdPdGdFcSt2aVRocEhYaFVYaFdlSDNjZ3Z0TDV0MjJjWDBSaVhhWXBuQW1HU3c1bkh2M0pMYjcvdHp3aXlwMGlxQzVaekZFK1NHMnpSWm9XYmtMNG9oVkJDeEZ0S093QU5Jb3prQ2JPUUcrcWM5YXV2SWY5c3llbUZhWGw2VDNwdzlsWm40QXhJOFFOejZUcnlyWGlDZnc2eW8xbGdwTHBQUm44dVd6Sy9TREdDSWRwdmRqTU5IQ09QcHplWDNPR0gvcHVxYlJheTZyem4wditpSllwVnpyVTJLZ09tU3kzc2w4amhRN2wzZ0NDUFFsL1ZPemhzYjVIaXNKQUNMeFlFR1Z4cjM4SHREWHhxeGpaalRQS0pYdEh5K1pCSXBmYW9haDJLZkhURWVhREg5bjNKVllWLzQ1K2hjM0U3V3lwcVVVVzVKR3R1L3NUdTJTUjRaNytCYjdaL2RLTUQ2cExidkM5aGZhSGhpVzJBNS8vUE85OW5BdjRJajBmTW9jbTdiWnlYV1VnZTQ1eTgrU2ZqUTFVWDJNRkl0TThpVEU3TmhQSy83a0VUUG83Nk12ZUNIejBDZk5aMzVDK0ZQUVFVVWpHYTQwZnBJSGpGMWZyaWJyZy9qRGU5aDFsZHE4bzVkdTVXcEpsUnRKQy9na0NJbndLRmFVL1czSkpYK1N1TTZWbUZOV21SVTZTNGdLKzUyT2hrdTZWSDVIeFhqV1dvS2padGFmbThEQjJ0N2RyTnRqMlo0Um1CNysvdkNpd0NBVG1FYkFubzRZVDk5QjNWMVU2cU9rTTBQUnk0YTlxc2NCaWNMbHR5bFgxbTdMNGZDdFpWQSt6eEs2TTFJQ0RaM0d3SWxESnY0RThaQkpwT0VteWttSHB3cmhvNXZLL04wSW43QjR0R09LZy9YeC80cU45SmR1MFpkM2xlWHJsVkErV1lGYzlaVlRZTnNzcHJjKy8rdnhjaWxYTVhpZS9lY2RIeEZ1M3B5bFVhMDJTemZGZ2JTMGJjcWNmSUlQK01mV2lLUUFQQkZaa3BONnBqZjlLM1gwZ3dDRUt4YVpwbVk2YnFIUjU1QUx0d0UwTlovRENMeGo2djQ5TkRkRHF0OGpVMmN6WDV2VWY1alc4VHZCa09jaXozRmdUekkwVDVkcG5LTGZrcURZUkZwL3hQek9YRWxOeno2WEcyVEt6Rnp6UW1JcGFyekQ5dWNCdjRsUS9ZaHpRSHNsVTMybmUrd29Mb2lwQjM3M2l4NHM1WlVuR3lvRExZYW5sLzZ2RGc3VkptVTJBNC92Tnh0TFZSNmJmZGVESTgxMTlWZEphL3FFbEpRWEQ4VG1zeHBhYThKeXBSYkdJd05rK0J2cWlEVzRoQmswWHlKYzVqNFBxZ0xIY3F2SjdDNWRTNTM5U00wMEhSNFJxSmc1bTBXVDFOVkNEM0JZRnpieHJVU1BwZ09XQ3pteS9LT1VnSWtDTFRPTlBhNHRQRHJEVUVOdklqZmtreWJUcE9sUno3M3loa001YUEyM0xqaTJ1Q2RIVDBSOXRxSGVUQTRic2xFbVlFUUtUbks4VTVTcFZFQlRmdWZUT1JxaUozWkJBRUtncjBsWURybDlDdGZlNWYvdG5XbElHaEhhamgwejV0SE5LbjF1R1RyTnNmdDJtS2wwTW4xNm5CalV5cldteDRKZ0lqOEQ5TGVyd3E1ZVVteURWeCszTDFxUHR2alZvTFh1Q2RpdGxFdzl6a29Welg5Qm1VcFFxdWlwYllZOXRMUXhSY3NMOFJIVmFhL0prYUdDWEc0U1VqMGtqK1RpOWR4STh2VGlpQUdNeVE4a015QWwzUHpBY2V3NFlYeHQxb3JtRHpQUm83NWdQZCtLdkJxRXM1V05odm40aWoralZVOHRJR25IcWhHb3RERTVHQW5YRHFJcnhIRXd0cUdTKytYei9saFRPS1hNcmszKys2UWdOVzhtaGErcTEwc0JRQzNwdkhVN3dyeDV0MUcvVUFsb2FORTNIcklpbFR6ZFVQRW1mbysrQURaZEx0eHpsYThTZXpiVEJYZjlENWZlU25jS3dPRjZMcEcrbzBpM0owZ3ZKV1UrUnl4TXM3MkRHT2l1b05YRmV2amoyaGpzbERlaGJwRENLS1ZZNllhSXN6MjFYRFhsbnk0anMxdW1YSENJVGFEZTJ4RnJnQ3FCT2t3blZIWDl1c1RVMURGWmhuY00xNFRZMFQwN2Y5dVdsRitQM0I5T0U4WEx5VmVxL3pwWjFVaFphZTArRUpjaGVnRzh0a3RwMXhzK0svQ1RrS0JYZ2NjWENocWxSSHltVjJDeWZVTzhTcllGWUhDQmltdm0rR0IzaC9qZVpLa1phSXgvek5mVzN4ZUJ4dC9WRlZBYkdVRkdOczVXeGdVUlpiOVcxMVJmQVB4U0pleXg5YlV5d3BmTUVNYjNtcFBEdktsM2hURTU5d2QwU0o2SUdBOW12clg0NG1EUmlpMVJRaDFqTk9uS1RielpSSG9rR0pGalM3cldwWEJxK1BCNGhjazN5amlGajdid3hBZlJZdVdLRS9VQTJKTmZqSHBETjJVejE0M3pKZ3ZxWFlUS29vRUE9PSJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Hotel Barcelona Condal Mar, un hotel moderno gestionado por Meliá, ocupa un edificio circular situado a 10 minutos a pie de la playa de Mar Bella. Ofrece un gimnasio abierto las 24 horas y una piscina en la azotea con vistas impresionantes a Barcelona.

Las habitaciones del Hotel Barcelona Condal Mar están insonorizadas y son luminosas y amplias. Cuentan con aire acondicionado, TV vía satélite y WiFi gratuita. Las habitaciones son elegantes y tienen baño privado y minibar. Hay 2 líneas telefónicas.

El bar del vestíbulo del Barcelona Condal Mar prepara diferentes cócteles. Hay un bar salón luminoso con sillones modernos. En el bar de la piscina se sirven bebidas. Por la mañana se proporciona un desayuno buffet en el restaurante.

En verano, y por un suplemento, se ofrece un servicio especial de registro de salida después de lo habitual, de consigna de equipaje y de traslado.

El Barcelona Condal Mar está a 8 minutos a pie de la estación de metro El Maresme/Fòrum y a 2 minutos a pie de la parada de autobús más cercana. El centro de Barcelona se encuentra a unos 15 minutos en metro, autobús o tranvía.",1,1
2,Catalonia Sagrada Familia,"8,2",€ 673,https://www.booking.com/hotel/es/cataloniaaragon.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AoD1x60GwAIB0gIkZDJlYzVlNWUtNzk2OC00NGUyLWIyNzMtMzEzYTlmOGU0ZWQw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=227b2b167058009a&srepoch=1706162863&all_sr_blocks=9058707_195192282_0_2_0&highlighted_blocks=9058707_195192282_0_2_0&matching_block_id=9058707_195192282_0_2_0&sr_pri_blocks=9058707_195192282_0_2_0__67304&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Catalonia Sagrada Familia se halla a 15 minutos a pie de la Sagrada Familia de Gaudí y a solo 300 metros de la estación de tren y metro del Clot. Cuenta con restaurante, gimnasio y piscina al aire libre de temporada.

El Catalonia Sagrada Familia presenta una bella decoración tradicional. Las habitaciones incluyen escritorio, nevera pequeña con agua gratuita y caja fuerte. Hay WiFi gratuita.
Todas las habitaciones del hotel están equipadas con Smart TV con la aplicación Chromecast.

El restaurante sirve un desayuno buffet, además de varios platos de la cocina catalana y mediterránea. También hay un bar y una cafetería que sirve bebidas y aperitivos todo el día.

El Catalonia Sagrada Familia presta servicio de alquiler de coches. El personal de la recepción 24 horas proporciona información turística sobre Barcelona. El hotel está a 200 metros de la Torre Agbar.

El centro de la ciudad queda a 4 paradas desde la estación de metro del Clot, donde también para el tren que lleva al aeropuerto.",1,1
3,Acta CITY47,"8,5",€ 726,https://www.booking.com/hotel/es/citypark.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AoD1x60GwAIB0gIkZDJlYzVlNWUtNzk2OC00NGUyLWIyNzMtMzEzYTlmOGU0ZWQw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=227b2b167058009a&srepoch=1706162863&all_sr_blocks=9004507_138954531_0_2_0&highlighted_blocks=9004507_138954531_0_2_0&matching_block_id=9004507_138954531_0_2_0&sr_pri_blocks=9004507_138954531_0_2_0__72614&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Acta CITY47 está situado en Barcelona, a 5 minutos a pie de la estación de tren de Sants y a 15 minutos del centro de exposiciones Fira. Tiene recepción 24 horas y habitaciones con aire acondicionado y WiFi gratuita.

Las habitaciones del Acta CITY47 presentan una decoración sencilla y moderna y disponen de baño privado, TV, escritorio y caja fuerte de uso gratuito. Los huéspedes pueden utilizar de forma gratuita la sala de planchado, abierta las 24 horas.

El moderno restaurante del hotel, el Nass City, sirve comida internacional y un desayuno sin gluten disponible bajo petición previa. También hay un bar donde se puede tomar un aperitivo o una bebida.

El Acta CITY47 está a 20 minutos a pie del estadio Camp Nou del FC Barcelona. La estación de metro de Sants enlaza con el centro de Barcelona en 15 minutos.",1,1
4,Center Gran Via,"8,7",€ 663,https://www.booking.com/hotel/es/barcelona-center-gran-via.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AoD1x60GwAIB0gIkZDJlYzVlNWUtNzk2OC00NGUyLWIyNzMtMzEzYTlmOGU0ZWQw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=227b2b167058009a&srepoch=1706162863&all_sr_blocks=41325901_354305231_0_0_0&highlighted_blocks=41325901_354305231_0_0_0&matching_block_id=41325901_354305231_0_0_0&sr_pri_blocks=41325901_354305231_0_0_0__66304&from=searchresults#hotelTmpl,"El Hotel Center Gran Via está en el centro de Barcelona, junto a la Universidad de Barcelona (situada en la Gran Vía) y ofrece habitaciones modernas. Se halla a unos 5 minutos a pie de la plaza de Cataluña, de Las Ramblas y del Paseo de Gracia.

El Hotel Center Gran Via ocupa la planta principal de un hermoso edificio modernista con balcones franceses y techo alto pintado. Las habitaciones presentan una decoración moderna y sencilla.

Todas las habitaciones del Hotel Center Gran Via están en la planta principal y cuentan con aire acondicionado y WiFi gratuita. Algunas habitaciones, según la categoría, cuentan con balcón o terraza.

El hotel se encuentra a 100 metros de la parada de metro Universitat. La Sagrada Familia queda a solo 5 paradas desde dicha estación. Las casas de Gaudí, el Barrio Gótico y el barrio del Born están a 20 minutos a pie.

El Gran Via está a 100 metros de la parada del autobús que lleva hasta el aeropuerto y a menos de 10 minutos a pie de la estación de tren y metro Catalunya.",1,1
5,Catalonia Diagonal Centro,"8,4",€ 799,https://www.booking.com/hotel/es/catalonia-diagonal-centro.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AoD1x60GwAIB0gIkZDJlYzVlNWUtNzk2OC00NGUyLWIyNzMtMzEzYTlmOGU0ZWQw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=227b2b167058009a&srepoch=1706162863&all_sr_blocks=9058108_194625034_0_2_0&highlighted_blocks=9058108_194625034_0_2_0&matching_block_id=9058108_194625034_0_2_0&sr_pri_blocks=9058108_194625034_0_2_0__79920&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Catalonia Diagonal Centro se encuentra en pleno centro del barrio barcelonés del Eixample, a 300 metros de la estación de metro Diagonal. Cuenta con piscina de temporada al aire libre y WiFi gratuita en todas las instalaciones.

El Catalonia Diagonal Centro ofrece alojamiento cómodo y moderno cerca de los lugares más famosos de Barcelona.

Se halla a 300 metros de La Pedrera, en la avenida Passeig de Gràcia, una de las creaciones más famosas de Gaudí. Está cerca de los edificios modernistas, la plaza Catalunya y Las Ramblas.

Las elegantes habitaciones incluyen muebles modernos de madera y baño de mármol. Disponen de TV vía satélite y WiFi gratuita.

El hotel está a unos pasos del barrio de Gràcia, con sus tiendas bohemias, sus plazas arboladas y su gran número de bares y restaurantes. En las inmediaciones hay varias paradas de metro y autobús que permiten acceder fácilmente al resto de la ciudad. Las habitaciones incluyen TV inteligente con Chromecast.",1,1
6,TWO Hotel Barcelona by Axel 4* Sup- Adults Only,"8,4",€ 1.081,https://www.booking.com/hotel/es/two-barcelona-by-axel.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AoD1x60GwAIB0gIkZDJlYzVlNWUtNzk2OC00NGUyLWIyNzMtMzEzYTlmOGU0ZWQw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=227b2b167058009a&srepoch=1706162863&all_sr_blocks=131688502_261958602_0_2_0&highlighted_blocks=131688502_261958602_0_2_0&matching_block_id=131688502_261958602_0_2_0&sr_pri_blocks=131688502_261958602_0_2_0__108130&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El TWO Hotel Barcelona by Axel está situado en pleno barrio gay de Barcelona, a 2 km de la playa de la Barceloneta, y alberga una piscina en la azotea con solárium amplio.

Este hotel hetero friendly proporciona aparcamiento privado. También incluye recepción 24 horas y mostrador de información turística, donde se ofrece información sobre la ciudad y la zona gay. Además, la azotea alberga el bar Sky, un gimnasio, un baño de vapor y una sala de masajes.

Las habitaciones están equipadas con aire acondicionado y minibar. El baño es privado y consta de ducha y secador de pelo. Además, las habitaciones incluyen caja fuerte y cargador universal para teléfonos móviles.

El alojamiento alberga un bar en la azotea con vistas impresionantes a la ciudad, así como un bar salón donde se preparan cócteles fabulosos. El alojamiento sirve un desayuno buffet todas las mañanas y ofrece WiFi gratuita de alta velocidad en todas las instalaciones.

El personal puede facilitar información sobre la zona de los alrededores, conocida como “Gayxample” debido a su animado ocio nocturno gay.

El hotel se encuentra a 2 minutos a pie de la estación de metro de Rocafort y a 10 minutos a pie de la plaza España, que ofrece enlace directo en autobús con el aeropuerto de Barcelona. El TWO Hotel Barcelona by Axel se encuentra a 1,3 km de la avenida del Paralelo, repleta de bares, restaurantes, discotecas y teatros.",1,1
7,Catalonia Rigoletto,"8,4",€ 759,https://www.booking.com/hotel/es/rigoletto.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AoD1x60GwAIB0gIkZDJlYzVlNWUtNzk2OC00NGUyLWIyNzMtMzEzYTlmOGU0ZWQw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=227b2b167058009a&srepoch=1706162863&all_sr_blocks=2980011_194584998_0_2_0&highlighted_blocks=2980011_194584998_0_2_0&matching_block_id=2980011_194584998_0_2_0&sr_pri_blocks=2980011_194584998_0_2_0__75920&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Catalonia Rigoletto es elegante y se halla a 500 metros del estadio Camp Nou (donde juega sus partidos como local el F.C. Barcelona) y a 5 minutos a pie de la estación de metro María Cristina. Tiene piscina al aire libre y habitaciones con WiFi gratuita y TV de pantalla plana.

Las habitaciones del hotel Rigoletto son amplias, están equipadas con aire acondicionado y presentan una decoración con mobiliario de madera oscura y tejidos de lujo. Además, disponen de TV vía satélite, minibar, caja fuerte y teléfono inteligente de uso gratuito.

Se sirve un desayuno buffet en el comedor. El restaurante La Traviata es elegante y propone platos de la cocina mediterránea. Este hotel también alberga un bar donde se exponen obras de arte con encanto.

Lugares de interés como Las Ramblas o la Casa Batlló de Gaudí quedan a 15 minutos en metro. El hotel Rigoletto se encuentra a solo 1,5 km de la estación de tren de Sants, que ofrece un servicio de enlace con el aeropuerto.",1,1
8,Zenit Barcelona,"8,2",€ 809,https://www.booking.com/hotel/es/zenitbarna.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AoD1x60GwAIB0gIkZDJlYzVlNWUtNzk2OC00NGUyLWIyNzMtMzEzYTlmOGU0ZWQw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=227b2b167058009a&srepoch=1706162863&all_sr_blocks=9009902_253533163_2_42_0&highlighted_blocks=9009902_253533163_2_42_0&matching_block_id=9009902_253533163_2_42_0&sr_pri_blocks=9009902_253533163_2_42_0__80920&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Zenit Barcelona está situado en Barcelona, a 250 metros de la plaza Francesc Macià de la avenida Diagonal. Este hotel moderno ofrece habitaciones elegantes e insonorizadas con aire acondicionado, WiFi gratuita y carta de almohadas.

El Zenit está a 15 minutos a pie del paseo de Gracia, donde se encuentran La Pedrera y la Casa Batlló de Gaudí. La plaza de Cataluña y Las Ramblas están a otros 15 minutos a pie.

Las habitaciones del Zenit Barcelona están equipadas con TV vía satélite, caja fuerte, minibar, escritorio, hervidor de agua con set de té y café gratuito y baño privado con secador de pelo.

El restaurante del Zenit Hotel elabora platos gourmet españoles e internacionales y sirve un desayuno especial sin gluten y menús para niños. Además, prepara almuerzos para llevar y presta servicio de habitaciones bajo petición.

El establecimiento dispone de recepción 24 horas, mostrador de información turística y servicio de lavandería, planchado y limpieza en seco. Hay un aparcamiento de pago a 10 minutos a pie.",1,1
9,Catalonia Gracia,"8,5",€ 819,https://www.booking.com/hotel/es/cataloniacorcega.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AoD1x60GwAIB0gIkZDJlYzVlNWUtNzk2OC00NGUyLWIyNzMtMzEzYTlmOGU0ZWQw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-12&checkout=2024-06-16&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=227b2b167058009a&srepoch=1706162863&all_sr_blocks=9058305_194613233_0_2_0&highlighted_blocks=9058305_194613233_0_2_0&matching_block_id=9058305_194613233_0_2_0&sr_pri_blocks=9058305_194613233_0_2_0__81920&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Este hotel se encuentra junto a la avenida Diagonal y al Paseo de Gracia, una zona idónea para ir de compras. También está cerca de la plaza Cataluña y del histórico Barrio Gótico. Ofrece WiFi gratuita.

El Hotel Catalonia Gracia se halla en plena ruta modernista y está rodeado de algunas de las obras arquitectónicas más famosas de Barcelona, como los edificios diseñados por Domènech i Montaner y Gaudí, entre ellos La Pedrera.

El restaurante sirve desayuno buffet. También hay servicio de habitaciones.

El Hotel Catalonia Gracia está ubicado a poca distancia a pie de numerosos lugares de interés de la cosmopolita ciudad de Barcelona. El hotel ofrece una excelente relación calidad precio y está muy bien comunicado en transporte público con otros puntos de la ciudad y con los alrededores. Hay instalaciones para reuniones y salas de conferencias donde se pueden organizar banquetes y eventos corporativos.",1,1
